Id_Mare	Perimetre	Surface	centroide_x	centroide_y
M_0095	179,40483546800	1391,16537410000	299379,21015000000	6711060,24975000000
M_0096	47,04210393560	142,75448911800	299570,70294200000	6711027,43996000000
M_0097	60,37074427760	222,51339244000	299683,44287500000	6711021,17411000000
M_0098	44,67749439990	130,85043685600	299798,78721600000	6711088,08677000000
M_0087	36,99747455820	104,70986578500	299984,39359400000	6711493,47397000000
M_0100	37,38086019720	87,14561748450	299237,23940200000	6711166,27380000000
M_1016	146,56408599200	1079,13026533000	298531,44447500000	6711031,77478000000
M_0056	34,17513473700	68,49736712080	298219,46676100000	6711359,31860000000
M_0044	39,37875267810	98,61334882300	298293,38049200000	6711327,33173000000
M_0051	72,49194766740	242,85033563300	298031,56958100000	6711230,72050000000
M_0045	52,98444965320	126,95879943600	297659,72982700000	6711440,53870000000
M_0057	35,64411905470	79,16340582080	297346,83918900000	6711372,23897000000
M_0046	47,64378653370	151,60192813700	297400,16883800000	6711269,47178000000
M_0047	141,13484260200	1267,24001721000	297474,39764000000	6711109,76105000000
M_0049	44,81904366790	113,85437975500	297497,50899900000	6711022,16050000000
M_0050	55,93731313750	205,48971456300	297423,01044900000	6711005,40751000000
M_0052	31,18997142170	58,34217949480	297558,85169800000	6711012,30518000000
M_0048	52,56930950280	165,58655958800	297593,21881400000	6711143,32097000000
M_0085bis	32,37424117390	74,85919525000	299966,85698900000	6711768,77578000000
M_0053	78,19458125750	316,16317095800	297465,97556300000	6710988,11195000000
M_0054	51,98651463170	115,49167382100	297566,32013200000	6710909,66886000000
M_0055	48,75196192600	122,12512783300	297607,27732900000	6710946,96333000000
M_0060	29,66933558890	55,40368803040	297583,85371800000	6710863,03620000000
M_0022	171,79815781100	536,43584596200	297146,81111100000	6710953,02149000000
M_D	35,61135748100	69,26540562860	295490,22597500000	6709834,86742000000
M_0064	99,74700909340	651,12505977000	297892,36236000000	6710164,94959000000
M_0065	99,23101731130	601,04538896000	297860,02342900000	6710092,51703000000
M_0063	95,75671111250	415,77089951400	297771,87808500000	6709646,18382000000
M_0083	17,07412271330	18,12192916330	297858,85179500000	6709216,09792000000
M_0104	26,26555221310	52,26500388660	298146,41644300000	6709012,62180000000
M_0081	14,92816755960	12,53531128270	298200,18081000000	6709034,14776000000
M_0105	30,80542571460	61,88386298880	298226,07713600000	6709221,56950000000
M_0106	15,84821892510	15,38505541880	298377,97045900000	6709051,45065000000
M_0107	14,68213825490	12,99514387740	298966,85538600000	6709682,91218000000
M_0108	53,06621471790	189,39861683400	298219,28638100000	6710246,37647000000
M_0109	64,41936414910	261,13849528400	298308,45921000000	6710295,49528000000
M_0110	36,42447843390	84,19389748000	297857,84491100000	6709905,56579000000
M_0111	21,59133795980	34,11134162530	298245,26129200000	6710490,70123000000
M_0115	61,50965577510	204,70088558300	298008,52750200000	6711031,31034000000
M_0119	57,19712694200	132,76840096700	300001,95125400000	6710707,97542000000
M_0114	45,66627076020	134,96943481900	298017,82695300000	6710925,77538000000
M_0059	79,21155068580	222,36477742900	297703,94863500000	6710828,30023000000
M_0061	33,24351201190	57,44319866070	297775,70053100000	6710763,56382000000
M_0118	98,78045908270	431,33883532200	299021,12862300000	6710517,32335000000
M_0120	12,87373897030	9,58077304884	300612,41231500000	6711111,32904000000
M_0116	94,39008752730	401,66743086200	297573,18883800000	6710664,57086000000
M_0117	48,93556392310	184,53964847300	297648,67564100000	6710569,97645000000
M_0099	47,92593538890	87,23298163030	299953,22448300000	6710944,90863000000
M_0121	87,03314791980	155,06148036300	300600,99664800000	6711133,05973000000
M_0120bis	26,72968849560	41,56263415220	300605,53415300000	6711119,89995000000
M_0122	24,49004756750	39,15020932200	300603,55542300000	6711145,99181000000
M_0122bis	35,63039573580	84,95820067010	300599,71423700000	6711154,44986000000
M_0123	77,38238804620	393,35737874200	297698,70396500000	6709567,18963000000
M_0124	33,43272540450	52,15826860370	297711,11375500000	6709541,20730000000
M_0125	11,63214068430	7,29596789195	297399,43810200000	6709769,74525000000
M_0126	82,57246106190	427,55743289500	295943,65415000000	6709613,12336000000
M_K	57,27227786200	249,38250753300	299311,32406200000	6709034,27394000000
M_0128	33,77578795770	75,32618786690	296865,35874600000	6710570,54733000000
M_0148	35,98894638340	77,44583209520	295906,94581400000	6709713,42898000000
M_0130	42,66378705070	139,45154304800	296916,00796900000	6710455,46209000000
M_0129	77,48487949650	217,20329450100	296915,18352000000	6710429,66868000000
M_0131	31,86488701710	72,99321431340	297016,42293000000	6710262,03731000000
M_0132	32,99484571030	55,93179222130	297030,92331700000	6710268,72599000000
M_0134	37,40366435000	77,92902549280	297008,09233600000	6710739,20789000000
M_0135	40,29945896390	59,24725339600	296467,31801800000	6710330,87155000000
M_0136	51,97131643520	156,45795487800	296464,85375800000	6710193,41648000000
M_0137	21,57351089780	26,60924170610	296843,37137600000	6709989,62336000000
M_0138	25,54155628370	37,16323443620	296972,31249600000	6709950,50589000000
M_0140	43,70100141510	128,94499003200	296077,90728000000	6710970,23258000000
M_0143	19,76139473100	28,02610534460	296365,80299000000	6709426,53909000000
M_0142	45,94130934240	149,86235923700	295659,53619500000	6710101,46546000000
M_0141	47,64969943950	126,50642278400	295870,97375200000	6710572,81963000000
M_1001	50,20969876170	159,08995747900	298955,26006400000	6709174,54352000000
M_0146	16,54932637280	17,03109899490	297942,78438300000	6709431,28063000000
M_0147	53,73669007220	172,60750526700	299333,68663500000	6711235,64892000000
M_0127	46,42363200440	144,67495493100	295906,47719000000	6709767,63375000000
M_0002	47,57101206800	169,08956842900	295111,26858900000	6710231,63470000000
M_0002bis	35,06169727070	73,52018554020	295141,21039100000	6710220,73185000000
M_0954	77,68584902220	430,94338491700	298269,67679000000	6709509,42074000000
M_0144	17,90560383100	23,43884204210	300258,20212600000	6710744,98645000000
M_1039	82,24501785820	388,85462600800	296581,66344600000	6710766,13139000000
M_0113	34,08347017680	86,22481370140	297839,85781700000	6711233,17964000000
M_1053	103,24139406200	666,58142751800	296964,56491700000	6711840,69116000000
M_0023	32,16971122750	54,55655559820	297001,01753200000	6711935,71152000000
M_0016bis	78,60987689930	447,49564733700	297018,57162100000	6711717,26344000000
M_0015	43,94307290660	121,35022660700	297119,52097100000	6711723,83260000000
M_1036	77,68530450840	310,58446854300	296997,85035200000	6711629,08577000000
M_0016	32,26361609170	62,25854208560	297057,82631700000	6711606,36356000000
M_1072	135,21538275300	1155,25017908000	296636,27846200000	6711461,35576000000
M_0139	19,03431042130	25,62199966910	296574,49759300000	6711346,00274000000
M_0019	45,47231023290	154,73096455500	296662,01213000000	6711331,13231000000
M_1070	231,11107498200	3567,90969505000	296613,46809200000	6711209,09319000000
M_0018	16,71923949080	20,44926958010	296732,66599000000	6711323,41352000000
M_0128bis	30,92374924960	46,68156292290	296614,30320700000	6711128,57905000000
M_1067	317,87980769300	5272,77340493000	296853,97758800000	6711367,74178000000
M_0017	46,19894251630	143,07417073100	297132,09395400000	6711377,74519000000
M_0021	43,86178635980	111,95122375800	296994,41100500000	6711211,71460000000
M_0020	48,85388792850	179,41893950100	296979,20308500000	6711158,00319000000
M_I1	39,46052088410	62,33373558270	297773,70247800000	6711673,88375000000
M_J1	39,09273195840	100,58137745600	297756,11851200000	6711610,42164000000
M_0952	208,90025489400	2703,62069391000	297414,28701800000	6709369,38286000000
M_AD	87,96711073580	471,32716378500	297366,25565300000	6709406,34878000000
M_0014	68,46118207210	300,77485111200	296808,70656600000	6711989,53635000000
M_Encaisse	45,50495834150	117,23772508600	297703,62818000000	6711827,63104000000
M_Prop1	78,61469832890	390,39073388200	297961,15853000000	6711629,84013000000
M_Prop2	70,35513014620	263,74295533900	297975,21899700000	6711591,80476000000
M_K1	35,79502412770	83,95794516340	298319,17295900000	6711894,38527000000
M_L1	97,66157674650	601,46021193000	298508,19603800000	6711779,86584000000
M_PC	90,78071529360	558,32854820700	298486,68291100000	6711504,26283000000
M_PC1	46,64950857110	114,36055128500	298620,66121500000	6711373,18255000000
M_PC2	44,55591693500	138,42514185900	298746,59060100000	6711322,54787000000
M_AR	69,69529535690	307,28015243100	299722,62804300000	6711938,71337000000
M_AQ	80,41945229810	232,97510311500	299643,76191300000	6711758,91369000000
M_AP	54,38742839630	203,36513907700	299364,24185300000	6711716,28737000000
M_AO	38,60461964190	105,31602665000	299635,81153900000	6711625,59031000000
M_0085	77,06207620050	386,12261052800	299415,63549000000	6711567,26713000000
M_AC2	62,29682758620	277,03091340000	300104,64125400000	6711965,41935000000
M_AC1	67,14024583740	309,77677547500	300201,75919800000	6711966,34851000000
M_AA	30,27249951250	57,40154066740	300389,01447700000	6711854,08405000000
M_AB	85,20818429700	314,57723949200	300302,34370800000	6711921,79106000000
M_0009	190,85592599900	1848,35414479000	294925,02594700000	6709528,17296000000
M_0008	144,43511814600	1312,74915888000	294887,71791600000	6709191,72751000000
M_0012	60,91282919810	144,91043165000	294982,36360500000	6709405,01406000000
M_0012bis	45,45402867800	145,30502193600	295026,99829200000	6709320,10319000000
M_Orage	105,50354754600	696,06800238300	294797,95191200000	6709353,54175000000
M_0010	78,03459304390	268,49556718800	295164,99006600000	6709391,61930000000
M_0011	42,95828928560	136,19664123300	295277,44825900000	6709467,74391000000
M_Z	32,11490682360	74,10065970430	295323,57899200000	6709496,47678000000
M_0013	47,37612325180	118,64031407700	295383,54186800000	6709346,28392000000
M_0013bis	50,01456708650	161,36898457500	295456,78673200000	6709200,48093000000
M_0041	51,46383553590	157,27110354500	295843,89064000000	6709103,05892000000
M_0103	35,56446549360	81,48975325100	296118,55660700000	6709039,54972000000
M_0103bis	57,19796297250	194,27361346700	296233,43365200000	6709056,80067000000
M_Stat1	187,64677094900	2109,05325979000	296500,88129400000	6709086,91127000000
M_Stat2	259,46835740400	2813,25598684000	296492,77286300000	6708977,05555000000
M_Stat3	68,02778531120	345,53843051100	296507,52830300000	6708859,97006000000
M_Stat4	205,15635480700	1774,99996219000	296560,44922000000	6708853,02539000000
M_0042bis42bis	80,10348585980	366,43043444400	297084,97253300000	6709298,13350000000
M_0042	65,43124497320	195,63009913300	297171,76848400000	6709209,97871000000
M_0042poney	33,54554053820	67,74946459030	297327,04144300000	6709167,48130000000
M_0080	67,16897085750	297,51213992400	297611,72864500000	6709081,80919000000
M_0082	23,18725612890	33,77909706670	297709,17311400000	6709011,98645000000
M_0084	26,50711448550	32,03808017980	297763,54867900000	6709182,84361000000
M_0133	34,98149107820	90,42334774920	296822,16133200000	6710642,73781000000
