"replicate"	"S"	"C"	"links"	"modularity_t"	"Mean_Trophic_Level"	"Mean_Omnivory"	"links.species"	"indegree"	"outdegree"	"basal"	"top"	"intermediate"	"omnivory"	"S_top"	"S_intermediate"	"S_basal"	"ratio"	"colonization_rate"	"extinction_rate"	"Distance"	"Surface"
"1"	100	34	0.422459893048128	474	0.00468721831620709	2.96230795542035	0.522738045067073	13.9411764705882	13.9411764705882	13.9411764705882	0.0882352941176471	0	0.911764705882353	0.764705882352941	0	31	3	1.19665923136327	0.761287228205206	0.636177123990365	600.26552984	87.15
"2"	100	44	0.459830866807611	870	0.00868261533064753	3.64507691791021	1.02793321698095	19.7727272727273	19.7727272727273	19.7727272727273	0.0681818181818182	0.0227272727272727	0.909090909090909	0.795454545454545	1	40	3	1.98956503766212	0.83380929800364	0.419091249705224	369.584276851	484.44
"3"	100	40	0.442307692307692	690	0.00689973207647745	3.23127267557106	0.770065785022549	17.25	17.25	17.25	0.075	0	0.925	0.7	0	37	3	1.75623351530985	0.809530368297662	0.460946885047253	446.811718668	348.02
"4"	100	39	0.404183535762483	599	0	3.22598391439965	0.688980211879559	15.3589743589744	15.3589743589744	15.3589743589744	0.0769230769230769	0.0256410256410256	0.897435897435897	0.743589743589744	1	35	3	2.38996092801988	0.759367277231583	0.31773208855792	606.372590732	1079.13
"5"	100	15	0.333333333333333	70	0.0925021545532893	2.48209635567054	0.623778989173643	4.66666666666667	4.66666666666667	4.66666666666667	0.2	0	0.8	0.666666666666667	0	12	3	0.416196935415527	0.26784213749065	0.64354663549658	2169.83644975	82.22
"6"	100	20	0.363157894736842	138	0.065709693914822	2.67851566009428	0.51878796287794	6.9	6.9	6.9	0.15	0	0.85	0.7	0	17	3	0.438388281132494	0.26655213030465	0.60802749931194	2173.93975892	108.86
"7"	100	37	0.46021021021021	613	0.0217480931766647	3.7119130593375	1.14213978418841	16.5675675675676	16.5675675675676	16.5675675675676	0.0810810810810811	0.027027027027027	0.891891891891892	0.72972972972973	1	33	3	1.35199590336126	0.947576774293624	0.700872518872143	7.70789835116	52.27
"8"	100	52	0.420814479638009	1116	0.0215650780386142	3.38375478122186	0.795634710163719	21.4615384615385	21.4615384615385	21.4615384615385	0.0576923076923077	0.0192307692307692	0.923076923076923	0.788461538461538	1	48	3	4.10047769402245	0.946955829829885	0.230937929795431	9.68302464485	2142.52
"9"	100	36	0.470634920634921	593	0.0130564322686528	3.70220732751713	1.15559006256512	16.4722222222222	16.4722222222222	16.4722222222222	0.0833333333333333	0	0.916666666666667	0.833333333333333	0	33	3	1.3193258327154	0.896499653735989	0.679513454148651	170.176153905	61.88
"10"	100	36	0.419047619047619	528	0.00880890402765992	3.20914145349378	0.761684728914062	14.6666666666667	14.6666666666667	14.6666666666667	0.111111111111111	0	0.888888888888889	0.694444444444444	0	32	4	1.09481910844346	0.936738806663857	0.855610574787691	42.1817620955	15.39
"11"	100	28	0.478835978835979	362	0	3.38559431310061	0.958209434786536	12.9285714285714	12.9285714285714	12.9285714285714	0.107142857142857	0	0.892857142857143	0.714285714285714	0	25	3	1.0666559951481	0.935424134859128	0.876968900108464	46.3635255232	13
"12"	100	32	0.522177419354839	518	0.00508368019424221	3.8399326204356	1.11981441217225	16.1875	16.1875	16.1875	0.09375	0	0.90625	0.8125	0	29	3	1.41426281421329	0.760791549550907	0.537942129217411	601.842205373	189.4
"13"	100	35	0.459663865546218	547	0.0310050478105633	3.51756607440888	1.01544166099979	15.6285714285714	15.6285714285714	15.6285714285714	0.0857142857142857	0	0.914285714285714	0.771428571428571	0	32	3	1.58985067291276	0.790622540081618	0.497293584581199	506.954534728	261.14
"14"	100	28	0.334656084656085	253	0.0262797331596327	2.69068778461826	0.447265699871436	9.03571428571429	9.03571428571429	9.03571428571429	0.107142857142857	0	0.892857142857143	0.607142857142857	0	25	3	1.02689417328714	0.775191914225179	0.754889777730215	556.036919123	34.11
"15"	100	33	0.384469696969697	406	0.0397401147959183	2.94074445820858	0.560781683590588	12.3030303030303	12.3030303030303	12.3030303030303	0.121212121212121	0.0303030303030303	0.848484848484849	0.696969696969697	1	28	4	1.63871177243275	0.892920119159163	0.544891502081282	181.562088195	179.28
"16"	100	61	0.456284153005464	1670	0.0172389785309209	3.67613881616953	1.01145858222053	27.3770491803279	27.3770491803279	27.3770491803279	0.0491803278688525	0	0.950819672131147	0.80327868852459	0	58	3	11.7725893053916	0.95	0.080695926389356	0	7022.79
"17"	100	31	0.462365591397849	430	0	3.28130943060739	0.827729576858778	13.8709677419355	13.8709677419355	13.8709677419355	0.0967741935483871	0	0.903225806451613	0.774193548387097	0	28	3	1.1422990204722	0.663469762004674	0.58081968916546	911.407444709	134.97
"18"	100	34	0.409090909090909	459	0.015320099000448	3.00336868257029	0.591129531478918	13.5	13.5	13.5	0.0882352941176471	0	0.911764705882353	0.735294117647059	0	31	3	1.21485064435228	0.625678001822871	0.515024628526632	1031.61706663	227
"19"	100	40	0.413461538461538	645	0.0144583328470447	3.28133323676585	0.820414454713347	16.125	16.125	16.125	0.075	0	0.925	0.725	0	37	3	1.22161652042003	0.645148970308432	0.528110875650738	969.682990291	204.7
"20"	100	29	0.390394088669951	317	0	2.75745715020354	0.422938980043449	10.9310344827586	10.9310344827586	10.9310344827586	0.103448275862069	0	0.896551724137931	0.724137931034483	0	26	3	1.26613033052427	0.560645974443978	0.442802735964654	1238.47367734	401.67
