"Site"	"n_mean"	"n_sd"	"L_mean"	"L_sd"	"C_mean"	"C_sd"	"Modularity_mean"	"Modularity_sd"	"Mean_trophic_level_mean"	"Mean_trophic_level_sd"	"Mean_Omnivory_Index_mean"	"Mean_Omnivory_Index_sd"	"Reseau"	"Bois"	"Cultures"	"Prairies"	"Surf_Urbanisees"	"Longueur_haies"	"Nb_de_mares"	"Vegetation_aquatique"	"Perimetre"	"Surface"	"Pente_en_rive_moyenne"	"Profondeur_maximum"	"Ecrevisses"	"Poissons"	"Hydroperiode"	"Anthropique"	"Ripysylve"	"Distance"
"1"	"100"	34.157	3.41702019704699	248.113	53.571467528276	0.210735090031946	0.0195097012355861	0.0609591208091939	0.0479589899467383	2.76968667114206	0.126471355283729	0.326593371768345	0.0830308935276638	"Briere"	0.037828692	0.285287742	0.554322988	0.028634105	1987.679437	0	"intermediaire"	37.38	87.15	21.8	1.2	0	0	"Permanent"	"Agricole"	10	600.26552984
"2"	"101"	42.71	3.3055751128702	383.723	63.7635166616229	0.2091909252712	0.0146001779146915	0.0304373355989009	0.0370806607039629	2.89726630571461	0.109301374796397	0.364806615157845	0.076016819945473	"Briere"	0.046113988	0.296274602	0.597429248	0.026819522	1356.661423	1	"beaucoup"	95.43	484.44	19.54	1.2	0	0	"Permanent"	"Agricole"	50	369.584276851
"3"	"1011"	40.624	3.56585744798349	348.084	66.2254237491218	0.209298949076682	0.0165806913503192	0.036030547157627	0.0408874695515701	2.86526760067976	0.110031323774303	0.353209465728848	0.0752495932980996	"Briere"	0.051968793	0.057297595	0.641160666	0.216715066	1213.774599	2	"peu"	81.87	348.02	16.04	0.4	0	1	"Temporaire"	"Recreationnel"	30	446.811718668
"4"	"1016"	45.403	3.29263305462853	431.374	68.0930303686419	0.2081681308096	0.013614827468783	0.0233156890589793	0.032263200006136	2.92732037445758	0.100849165264562	0.371075949965502	0.0705575327593979	"Briere"	0.424565654	0.254446551	0.257066864	0.035720376	489.9941207	3	"peu"	146.56	1079.13	20.35	1	1	0	"Permanent"	"Recreationnel"	95	606.372590732
"5"	"1038"	16.565	3.29524409317939	60.941	25.7161591191189	0.213189360725761	0.0312810862274286	0.120437587714691	0.0599932426294664	2.3051225164836	0.19255920625918	0.245560664703911	0.0921861728660695	"Mes"	0.085426859	0.302328369	0.376948625	0.177097769	1524.011903	3	"beaucoup"	35.53	82.22	29.9	3.69939854	1	0	"Permanent"	"Recreationnel"	NA	2169.83644975
"6"	"1038bis"	17.322	3.36535906578208	66.743	27.6681491516414	0.213479049893346	0.0315981814777563	0.117621101526669	0.0580062785881748	2.33714275931499	0.189593617084163	0.249317900601303	0.0942022877520549	"Mes"	0.090478864	0.316133551	0.357603816	0.171891432	1627.795889	5	"intermediaire"	43.08	108.86	15.82	0.7	1	0	"Permanent"	"Recreationnel"	NA	2173.93975892
"7"	"104"	36.343	3.4294477853019	280.059	56.5041789714818	0.210261699243993	0.0181550489272048	0.0516922068831996	0.0467123632292363	2.81058563521061	0.12220399332331	0.338432550474933	0.079741400590061	"Briere"	0.245368627	0.286136331	0.075456337	0.020280111	1359.721057	1	"intermediaire"	26.27	52.27	16.04	0.6	1	0	"Temporaire"	"Agricole"	NA	7.70789835116
"8"	"1040"	52.387	2.85365982106739	573.797	67.8823084374625	0.208439259639192	0.00970386909639516	0.0105042150504855	0.0179744333901867	2.99844179534264	0.0756793723624188	0.391618730617744	0.0534299846692917	"Briere"	0.06192122	0	0.625990328	0.01584028	1995.787044	2	"peu"	173.7	2142.52	16.92	2.509043622	1	1	"Permanent"	"Agricole"	10	9.68302464485
"9"	"105"	35.945	3.56520485886655	274.409	58.9136872173313	0.210363363307437	0.0187954809945307	0.0508653308013041	0.04702909291435	2.79536176249223	0.120893226218172	0.331821641954424	0.0774272820024893	"Briere"	0.33479565	0.194832657	0.395733099	0.029719842	1528.128917	1	"peu"	30.81	61.88	35.47	1.4	0	0	NA	"Agricole"	NA	170.176153905
"10"	"106"	32.813	3.23210109332575	230.357	50.6851905347069	0.211755146198161	0.0202581856878743	0.0630016516949805	0.0489286757645411	2.75613678066135	0.127398438306939	0.329313905707616	0.0830375145557458	"Briere"	0.533833138	0	0.166428135	0.013492135	267.7129403	0	"beaucoup"	15.85	15.39	15.38	0.3	1	0	"Temporaire"	"Agricole"	NA	42.1817620955
"11"	"107"	32.327	3.31134957925557	221.577	48.9668850022832	0.210003735320664	0.0206696187145105	0.0662072254308549	0.0487081892132151	2.7402856935688	0.124113716412907	0.321836603069431	0.0849958727909436	"Briere"	0.604229829	0	0.048678276	0.000142924	0	4	"intermediaire"	14.68	13	20.56	0.5	1	0	"Temporaire"	"Agricole"	NA	46.3635255232
"12"	"108"	37.297	3.55378958583938	294.467	60.7947770447093	0.209807774773863	0.0179355407982916	0.047774168539749	0.0454164699692066	2.81885414082098	0.122363653403479	0.339214806082537	0.083539898067377	"Briere"	0.208107811	0.416476998	0.092616778	0.058284363	917.9703744	4	"peu"	53.07	189.4	11.77	0.9	1	0	"Temporaire"	"Recreationnel"	95	601.842205373
"13"	"109"	39.027	3.61626165374525	320.795	63.7873482816209	0.208851002802227	0.0173188822748139	0.0443718418938388	0.0447819998133598	2.84641590242486	0.116354541517388	0.348293466390947	0.0784379738902594	"Briere"	0.194484517	0.346211442	0.153071601	0.102928066	1058.855164	1	"beaucoup"	64.42	261.14	29.08	1.1	0	0	"Permanent"	"Recreationnel"	20	506.954534728
"14"	"111"	31.883	3.49134651681848	216.785	51.6122718120565	0.210857350316183	0.0216016602547882	0.0670940201682725	0.0487463080786028	2.73491785588506	0.13753166311587	0.322115192073664	0.0894857927392637	"Briere"	0.173260785	0.333594073	0.261815091	0.0828384	1430.709483	2	"peu"	21.59	34.11	21.18	0.5	1	0	"Temporaire"	"Agricole"	40	556.036919123
"15"	"112"	39.601	3.41547426640349	329.642	62.3902586978158	0.20860124261842	0.0166389297343442	0.0407708520404707	0.0429246085565044	2.84930089921051	0.112162131194135	0.347104386922856	0.0738012027431094	"Briere"	0.046931553	0.006661375	0.814268946	0.025453363	1617.825203	3	"intermediaire"	53.09	179.28	8.53	0.25	1	0	"Permanent"	"Agricole"	30	181.562088195
"16"	"1123"	60.586	1.50028492455762	764.245	40.4483503253723	0.208081002718839	0.00450710467293849	0.00320139877290588	0.00379478400864775	3.06281990124801	0.0341056277405127	0.412308466657282	0.024193233784648	"Briere"	0.262353768	0.097109125	0.14960703	0.005330751	342.930408	2	"beaucoup"	358.57	7022.79	9.69	2.983101387	1	1	"Permanent"	"Agricole"	0	0
"17"	"114"	33.596	3.6207587456076	241.29	55.4492607752396	0.21144383021856	0.0204882125735798	0.0635019896306266	0.0484564123076838	2.76750897472627	0.126419425457953	0.330286818620135	0.0824604964206136	"Briere"	0.036648079	0.530458088	0.352899753	0.024916902	2179.593339	3	"peu"	45.67	134.97	24.62	1.25	0	0	"Temporaire"	"Agricole"	100	911.407444709
"18"	"1141"	34.669	3.49738054416025	255.884	55.8323005955315	0.210647231268737	0.0188667310873176	0.0571216826612735	0.0468359898258078	2.7863905223351	0.129329014019973	0.335652637969196	0.0883127223798326	"Briere"	0.162718768	0.174214402	0.262489216	0.144198906	481.828879	2	"beaucoup"	59.05	227	13.13	0.75	0	0	"Permanent"	"Recreationnel"	NA	1031.61706663
"19"	"115"	34.892	3.64878742182244	259.17	58.2052828784034	0.210715810729269	0.0198526132915592	0.0564695220826471	0.0475875075082505	2.78582606762786	0.126540306187137	0.333227756388102	0.0826158438407813	"Briere"	0.045445132	0.483904386	0.38008965	0.027824275	2547.248535	3	"intermediaire"	61.51	204.7	34.99	2.2	0	0	"Permanent"	"Agricole"	45	969.682990291
