"replicate"	"S"	"C"	"links"	"modularity_t"	"Mean_Trophic_Level"	"Mean_Omnivory"	"links.species"	"indegree"	"outdegree"	"basal"	"top"	"intermediate"	"omnivory"	"S_top"	"S_intermediate"	"S_basal"	"ratio"	"colonization_rate"	"extinction_rate"	"Distance"	"Surface"
"1"	100	37	0.343843843843844	458	0.00971158711418452	2.92024763084052	0.537143415103642	12.3783783783784	12.3783783783784	12.3783783783784	0.0810810810810811	0	0.918918918918919	0.702702702702703	0	34	3	0.210526315789474	0.790319142450229	0.65130791554485	600.26552984	87.15
"2"	100	40	0.448076923076923	699	0	3.18774761497286	0.70885428422029	17.475	17.475	17.475	0.1	0	0.9	0.7	0	36	4	0.210526315789474	0.870899220004044	0.41010138856136	369.584276851	484.44
"3"	100	40	0.421153846153846	657	0.0148317915486986	3.54757432929753	0.985926222202225	16.425	16.425	16.425	0.075	0	0.925	0.775	0	37	3	0.210526315789474	0.843922631441846	0.456607650052503	446.811718668	348.02
"4"	100	43	0.372646733111849	673	0.0160942148760331	3.14065120860492	0.646877508587435	15.6511627906977	15.6511627906977	15.6511627906977	0.0697674418604651	0	0.930232558139535	0.744186046511628	0	40	3	0.210526315789474	0.788185863590648	0.297480098397689	606.372590732	1079.13
"5"	100	21	0.357142857142857	150	0	2.55894875160949	0.356316375243275	7.14285714285714	7.14285714285714	7.14285714285714	0.142857142857143	0	0.857142857142857	0.666666666666667	0	18	3	0.210526315789474	0.242046819434055	0.659496261662866	2169.83644975	82.22
"6"	100	18	0.336601307189543	103	0.0165650969529087	2.40972633020953	0.343675015334526	5.72222222222222	5.72222222222222	5.72222222222222	0.166666666666667	0	0.833333333333333	0.611111111111111	0	15	3	0.210526315789474	0.240613478116277	0.620030554791044	2173.93975892	108.86
"7"	100	37	0.428678678678679	571	0.0132874969235844	3.27469797146361	0.802305418546029	15.4324324324324	15.4324324324324	15.4324324324324	0.0810810810810811	0	0.918918918918919	0.648648648648649	0	34	3	0.210526315789474	0.997307526992915	0.723191687635715	7.70789835116	52.27
"8"	100	55	0.485521885521886	1442	0.00342617229047129	3.88458743765304	1.21058939084131	26.2181818181818	26.2181818181818	26.2181818181818	0.0545454545454545	0	0.945454545454545	0.8	0	52	3	0.210526315789474	0.996617588699873	0.201042144217145	9.68302464485	2142.52
"9"	100	29	0.507389162561576	412	0	4.17249131868497	1.61186549495538	14.2068965517241	14.2068965517241	14.2068965517241	0.103448275862069	0	0.896551724137931	0.724137931034483	0	26	3	0.210526315789474	0.940555170817766	0.699459393498501	170.176153905	61.88
"10"	100	35	0.457142857142857	544	0	3.44731313659169	0.934764508124666	15.5428571428571	15.5428571428571	15.5428571428571	0.114285714285714	0	0.885714285714286	0.742857142857143	0	31	4	0.210526315789474	0.985265340737619	0.895122860875212	42.1817620955	15.39
