Id_Mare	Briere_Marais
Mare_0044	998,64521604600
Mare_0051	1082,55662522000
Mare_0056	1069,10047091000
Mare_0061	1066,51884580000
Mare_0063	689,87567696600
Mare_0064	862,56895102200
Mare_0065	872,12951396300
Mare_0066	68,72471559180
Mare_0067	831,32330790200
Mare_0068	779,17465432700
Mare_0069	706,53743438000
Mare_0070	623,03914887000
Mare_0071	598,24250371800
Mare_0072	640,09643220800
Mare_0073	409,26882510400
Mare_0074	217,86717453700
Mare_0075	251,49678595600
Mare_0075bis	442,25453298400
Mare_0076	806,15397438900
Mare_0077	1032,13061639000
Mare_0079bis	342,14049006200
Mare_0083	276,58059923600
Mare_0085bis	504,37687464800
Mare_0086	374,85522581100
Mare_0087	430,58493801400
Mare_0088	308,16792476000
Mare_0089	277,56603358300
Mare_0090	279,38839626300
Mare_0091	86,32900517510
Mare_0093	346,04383558800
Mare_0095	416,97092716400
Mare_0096	356,46049002000
Mare_0097	360,65134880100
Mare_0098	435,98313607000
Mare_0100	600,26552984000
Mare_0101	369,58427685100
Mare_0108	601,84220537300
Mare_0109	506,95453472800
Mare_0111	556,03691912300
Mare_0112	181,56208819500
Mare_0114	911,40744470900
Mare_0115	969,68299029100
Mare_0123	627,36990807800
Mare_0124	605,10579083300
Mare_0146	469,53030732900
Mare_0147	613,92902495800
Mare_0888	580,92898929400
Mare_0949	606,73570535100
Mare_0960	595,50989025800
Mare_1011	446,81171866800
Mare_1016	606,37259073200
Mare_1141	1031,61706663000
Mare_1178	17,91880975980
Mare_1180	327,06264348200
Mare_1203	42,82377508170
Mare_B	483,79106102000
Mare_C	627,60911750200
Mare_I	896,87513630100
Mare_0081	9,60887336334
Mare_0094	359,64893671100
Mare_0099	245,92784894500
Mare_0104	7,70789835116
Mare_0105	170,17615390500
Mare_0106	42,18176209550
Mare_0107	46,36352552320
Mare_0118	0,00000000000
Mare_0119	9,66767332478
Mare_0120	23,55498640770
Mare_0120bis	28,33720668410
Mare_0121	18,04784379900
Mare_0122	27,75129373140
Mare_0122bis	17,72117633090
Mare_0144	0,00000000000
Mare_0908	218,34163232500
Mare_0932	0,00000000000
Mare_0937	22,63005095700
Mare_0954	445,99919173200
Mare_1040	9,68302464485
Mare_1123	0,00000000000
Mare_1179	0,00000000000
Mare_1199	0,00000000000
Mare_A	371,09867469400
Mare_J	109,74512819900
Mare_K	0,80170061191
Mare_0092	0,00000000000
Mare_0110	851,92628762600
Mare_0006	2423,54399684000
Mare_0011	2229,18658427000
Mare_0022	1687,67640798000
Mare_0024	1939,65183494000
Mare_0025	1852,70336590000
Mare_0026	2007,89845464000
Mare_0027	1949,19032537000
Mare_0028	1753,18468913000
Mare_0029	1762,76700323000
Mare_0030	1429,42764475000
Mare_0031	1305,66245788000
Mare_0032	1033,08274230000
Mare_0033	1317,37308727000
Mare_0033bis	1442,96071817000
Mare_0034	1610,67758400000
Mare_0036	1619,28653284000
Mare_0037	1521,42618238000
Mare_0038	1133,76909159000
Mare_0038bis	1420,93340795000
Mare_0039	1630,83195673000
Mare_0040	2247,03796012000
Mare_0043	1659,19101317000
Mare_0045	1504,75586927000
Mare_0046	1613,79553526000
Mare_0047	1458,19720845000
Mare_0048	1383,70719645000
Mare_0049	1417,79655435000
Mare_0050	1476,20471184000
Mare_0052	1358,97922352000
Mare_0053	1428,72544167000
Mare_0054	1310,50162205000
Mare_0055	1289,64705648000
Mare_0057	1716,36259028000
Mare_0058	1454,30202897000
Mare_0059	1149,27091896000
Mare_0060	1281,22630305000
Mare_0062	989,91903860800
Mare_0116	1238,47367734000
Mare_0125	923,46921234600
Mare_0126	1820,44004602000
Mare_0127	1952,65352252000
Mare_0128	1878,64988552000
Mare_0129	1727,44824150000
Mare_0131	1536,91476205000
Mare_0132	1534,08199085000
Mare_0134	1811,75982792000
Mare_0136	1828,55750510000
Mare_0142	2358,11843247000
Mare_0143	1385,76458499000
Mare_0145	1972,55700013000
Mare_0762	2357,08515805000
Mare_0812	2215,05179412000
Mare_0893	1463,70561146000
Mare_0893bis	1485,28938983000
Mare_0894	1130,09821044000
Mare_0961	1681,78859597000
Mare_1038	2169,83644975000
Mare_1038bis	2173,93975892000
Mare_Bois	1458,04501544000
Mare_D	2322,61828011000
Mare_F	1466,64688672000
Mare_G	1471,77988405000
Mare_L	1501,79464945000
Mare_Sup1	1931,10328292000
Mare_0002	2862,75789242000
Mare_0003	2737,29876885000
Mare_0004	2638,77480071000
Mare_0005	2597,59890585000
Mare_0035	2557,06204303000
Mare_0140	2660,08490189000
Mare_0141	2526,25784383000
Mare_0806	2418,41178646000
Mare_0853	2388,85970597000
Mare_0130	1752,43631426000
Mare_0135	1924,28615875000
